,index,location,beer_name,beer_id,style,brewery_name,count,cumulated_rating,normalized_rating
0,0,Abkhazia,No beer with enough votes,-1,-,-,1,3.4188764911269764,0
1,6,Afghanistan,No beer with enough votes,-1,-,-,1,3.185543157793642,0
2,29,Albania,No beer with enough votes,-1,-,-,1,3.252209824460309,0
3,35,Algeria,No beer with enough votes,-1,-,-,1,2.3133209355714204,0
4,72,American Samoa,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
5,73,Andorra,No beer with enough votes,-1,-,-,1,4.0252378142821925,0
6,234,Antigua and Barbuda,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
7,569,Argentina,Quilmes Cristal,7485,Pale Lager,Cerveceria Malteria Quilmes SAICAY (InBev),13,29.7632007144997,2.2894769780384383
8,661,Armenia,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
9,666,Ascension Island,No beer with enough votes,-1,-,-,1,3.808902737846136,0
10,16548,Australia,Redoak Baltic Porter,50112,Baltic Porter,Redoak Boutique Beer Cafe,14,61.24732993889495,4.3748092813496395
11,27992,Austria,Rochefort Trappistes 10,2360,Abt/Quadrupel,Brasserie Rochefort,11,46.726400721615875,4.247854611055988
12,29999,Azerbaijan,No beer with enough votes,-1,-,-,1,3.7355431577936415,0
13,30011,Bahamas,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
14,30017,Bangladesh,No beer with enough votes,-1,-,-,1,2.528400300650786,0
15,30032,Barbados,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
16,30035,Belarus,No beer with enough votes,-1,-,-,1,4.311211606991504,0
17,35523,Belgium,3 Fonteinen Zenne y Frontera,358322,Lambic Style - Unblended,Brouwerij 3 Fonteinen,14,62.052623736067574,4.432330266861969
18,65971,Belize,No beer with enough votes,-1,-,-,1,3.2105431577936425,0
19,65977,Bermuda,No beer with enough votes,-1,-,-,1,5.0,0
20,67449,Bolivia,No beer with enough votes,-1,-,-,1,3.635949661858683,0
21,68314,Bosnia and Herzegovina,No beer with enough votes,-1,-,-,1,3.835543157793643,0
22,68436,Botswana,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
23,72483,Brazil,Westvleteren Extra 8,4935,Belgian Strong Ale,Westvleteren Abdij St. Sixtus,11,47.19660524387495,4.2906004767159045
24,72622,Bulgaria,No beer with enough votes,-1,-,-,1,4.153511907793643,0
25,72965,Burkina Faso,No beer with enough votes,-1,-,-,1,1.3355431577936423,0
26,72967,Burundi,No beer with enough votes,-1,-,-,1,3.2855431577936427,0
27,72968,Cambodia,No beer with enough votes,-1,-,-,1,3.5550088066486047,0
