,country,neg_words,pos_words,nb_review
0,Afghanistan,8.0,18.0,1
1,American Samoa,7.5,10.5,4
2,Antarctica,2.875,6.5,8
3,Antigua and Barbuda,3.0,12.0,2
4,Aotearoa,4.833333333333333,7.5,6
5,Australia,3.8946796959826275,7.95114006514658,921
6,Austria,3.8181818181818183,6.909090909090909,11
7,Bahamas,2.466666666666667,8.066666666666666,15
8,Belgium,3.393939393939394,6.075757575757576,66
9,Bhutan,4.0,5.0,1
10,Brazil,3.75,6.153846153846154,52
11,Burkina Faso,3.8333333333333335,6.666666666666667,6
12,Canada,3.8160739687055476,7.290896159317212,7030
13,Chile,0.0,7.0,1
14,China,2.0,6.607142857142857,28
15,Costa Rica,1.0,5.666666666666667,3
16,Croatia,2.6,6.4,5
17,Cyprus,2.6,4.6,5
18,Denmark,2.5555555555555554,5.444444444444445,27
19,Dominican Republic,5.0,10.0,2
20,England,3.693877551020408,6.86734693877551,392
21,Fiji Islands,1.7272727272727273,5.818181818181818,11
22,Finland,3.3333333333333335,7.666666666666667,9
23,France,3.0,6.142857142857143,77
24,Germany,3.4559748427672954,8.29874213836478,318
25,Greece,2.5833333333333335,4.333333333333333,12
26,Hong Kong,3.257142857142857,7.371428571428571,35
27,Hungary,6.333333333333333,10.333333333333334,3
28,India,7.666666666666667,6.666666666666667,3
29,Ireland,3.207547169811321,7.30188679245283,53
30,Italy,1.5,3.4444444444444446,18
31,Japan,2.8045112781954886,5.984962406015038,133
32,Jersey,1.5,3.5,2
33,Jordan,4.3,7.3,20
34,Lebanon,2.0,8.5,2
35,Lesotho,3.423076923076923,7.82051282051282,78
36,Luxembourg,4.0,4.0,1
37,Malaysia,3.0,4.0,1
38,Mexico,3.9133333333333336,8.246666666666666,150
39,Netherlands,4.661676646706587,9.766467065868264,334
40,Northern Ireland,3.9767441860465116,9.744186046511627,43
41,Norway,4.125,3.75,8
42,Panama,1.8,4.6,10
43,Philippines,3.5,10.0,2
44,Poland,3.4050632911392404,6.962025316455696,79
45,Portugal,3.9523809523809526,6.619047619047619,21
46,Puerto Rico,3.875,8.125,16
47,Romania,3.089171974522293,4.388535031847134,157
48,Russia,1.9714285714285715,5.0,35
49,Scotland,3.7768595041322315,7.2809917355371905,121
50,Singapore,3.0,6.5,12
51,Slovenia,7.666666666666667,11.833333333333334,6
52,South Africa,8.392857142857142,12.142857142857142,28
53,Spain,2.7421875,5.59375,128
54,Svalbard and Jan Mayen Islands,6.0,7.0,1
55,Sweden,4.214285714285714,6.9935064935064934,154
56,Switzerland,4.5,8.25,24
57,Taiwan,2.764705882352941,3.823529411764706,17
58,Tajikistan,4.086956521739131,8.043478260869565,23
59,Thailand,3.869918699186992,9.113821138211382,123
60,Turkey,2.3333333333333335,2.3333333333333335,3
61,Ukraine,2.125,4.375,8
62,United Arab Emirates,4.6,4.4,10
63,"United States, Alabama",3.6166666666666667,7.845555555555555,900
64,"United States, Alaska",3.791497975708502,8.902834008097166,494
65,"United States, Arizona",3.5372901210464662,8.450605232331121,2561
66,"United States, Arkansas",2.6,5.744303797468355,790
67,"United States, California",3.5869066727814722,7.418310020637469,17444
68,"United States, Colorado",3.5572114588508033,8.064580228514656,6039
69,"United States, Connecticut",3.010658414990545,6.6374419804022695,5817
70,"United States, Delaware",3.4468085106382977,6.916827852998066,517
71,"United States, Florida",3.152422739412438,6.748569248378481,5242
