country,neg_words,pos_words,nb_review
Argentina,0.0,0.25,12
Ascension Island,1.24,2.32,25
Australia,2.037931034482759,4.448275862068965,870
Austria,2.9285714285714284,4.416666666666667,84
Belarus,1.0,2.5,8
Belgium,2.2243517474633596,3.165727170236753,887
Bermuda,1.7727272727272727,3.090909090909091,22
Bolivia,2.5526315789473686,4.421052631578948,38
Brazil,0.5,0.9857142857142858,70
Bulgaria,0.5,1.0,2
Cambodia,1.9076923076923078,5.676923076923077,65
Canada,1.7823398705439089,3.417447589604869,10351
Chile,1.5384615384615385,3.923076923076923,13
China,1.25,2.0,20
Colombia,2.5,3.5,2
Costa Rica,1.0,3.0,1
Croatia,1.7307692307692308,2.1634615384615383,104
Cyprus,1.0441176470588236,1.3676470588235294,68
Czech Republic,1.191304347826087,2.391304347826087,115
Denmark,1.5069811576521621,2.2480683204554697,7377
Dominican Republic,0.2222222222222222,0.4444444444444444,9
Ecuador,1.0,2.0,2
El Salvador,0.6052631578947368,1.3026315789473684,76
England,1.8029123776048206,3.236505146874215,3983
Estonia,2.3043478260869565,3.4456521739130435,184
Faroe Islands,1.6037735849056605,3.688679245283019,106
Finland,1.4715203426124197,2.3246252676659527,2335
France,1.05,1.6214285714285714,140
Germany,1.2964015151515151,2.0009469696969697,1056
Greece,1.3350785340314135,2.7277486910994764,191
Guam,0.5510204081632653,2.2448979591836733,49
Guatemala,2.0,0.0,2
Hong Kong,3.65,7.675,40
Hungary,1.132183908045977,2.045977011494253,174
Iceland,1.6111111111111112,2.611111111111111,54
India,0.8,2.2,5
Indonesia,1.1666666666666667,0.8333333333333334,6
Ireland,1.5916030534351144,3.5763358778625953,262
Isle of Man,2.1666666666666665,4.666666666666667,6
Israel,1.5379644588045234,1.9838449111470113,619
Italy,1.0605427974947808,2.066805845511482,479
Japan,1.3477611940298508,3.3388059701492536,670
Jersey,1.0,3.0,1
Kenya,0.0,1.0,1
Latvia,2.18,2.88,50
Lebanon,1.0,7.0,1
Lithuania,3.0,8.666666666666666,3
Luxembourg,2.3,4.5,20
Macau,0.0,3.0,1
Malaysia,2.6818181818181817,2.522727272727273,88
Mexico,1.1048387096774193,2.4193548387096775,124
Moldova,1.8823529411764706,2.5294117647058822,17
Mozambique,0.541095890410959,2.1301369863013697,146
Netherlands,1.6169652265542676,2.6048472075869338,1898
New Zealand,1.537190082644628,3.3140495867768593,121
Norfolk Island,0.0,0.0,2
North Korea,1.3571428571428572,3.0714285714285716,14
Northern Ireland,1.5957446808510638,2.617021276595745,47
Norway,1.806201550387597,3.015934539190353,2322
Pakistan,0.5,3.0,4
Panama,0.7,4.8,10
Peru,2.0,7.0,1
Philippines,2.388888888888889,1.2777777777777777,18
Poland,1.0424628450106157,3.031847133757962,471
Portugal,1.763157894736842,4.565789473684211,76
Puerto Rico,0.5555555555555556,2.2222222222222223,9
Romania,2.5869565217391304,3.1739130434782608,46
Russia,1.2,1.4,5
Saudi Arabia,1.0,6.5,6
Scotland,1.4424778761061947,2.9214601769911503,904
Serbia,1.2857142857142858,3.142857142857143,14
Singapore,1.5,4.0,6
Slovak Republic,1.4153846153846155,2.269230769230769,130
Slovenia,2.325,4.15,40
South Africa,1.6956521739130435,3.652173913043478,23
South Korea,1.2857142857142858,1.8571428571428572,7
Spain,0.8776699029126214,1.6951456310679611,515
Sweden,1.6286015460295151,1.90073787772312,5692
Switzerland,1.9471947194719472,3.036303630363036,303
Taiwan,0.9130434782608695,1.6231884057971016,69
Thailand,1.1304347826086956,1.9275362318840579,69
Turkey,2.7240259740259742,1.9707792207792207,308
Ukraine,0.5185185185185185,2.5925925925925926,27
"United States, Alabama",1.463949843260188,3.20846394984326,1276
"United States, Alaska",1.5,2.7155172413793105,348
"United States, Arizona",1.7013022998060405,3.8448323635356054,3609
"United States, Arkansas",1.7807807807807807,3.87987987987988,333
"United States, California",1.7798404297337862,3.2579982621060117,12659
"United States, Colorado",1.9864805931094636,3.7319668556476233,34395
"United States, Connecticut",1.7798784604996625,3.1661039837947333,1481
"United States, Delaware",1.9233954451345756,3.779503105590062,966
"United States, Florida",1.8791568030661707,3.7933716604666894,8871
"United States, Georgia",1.7707368421052632,3.769263157894737,4750
"United States, Hawaii",1.75,3.6875,112
"United States, Idaho",1.628053585500394,3.189913317572892,1269
"United States, Illinois",1.8979371422399827,3.9137055837563453,9259
"United States, Indiana",1.760177646188009,3.4386873920552676,4053
"United States, Iowa",1.6886051080550097,3.243123772102161,2036
"United States, Kansas",1.7146987951807229,3.746024096385542,2075
"United States, Kentucky",1.4330238726790452,2.9316976127320955,1508
"United States, Louisiana",2.013333333333333,3.3866666666666667,525
"United States, Maine",1.9754901960784315,4.095588235294118,408
"United States, Maryland",1.8289765175011077,3.6335844040762075,4514
