,country,neg_words,pos_words,nb_review
0,Andorra,2.0,6.0,1
1,Antarctica,1.7692307692307692,4.769230769230769,13
2,Antigua and Barbuda,7.0,14.0,1
3,Aotearoa,9.25,12.0,4
4,Argentina,3.0,5.5,2
5,Australia,3.8303249097472922,8.028880866425993,554
6,Austria,2.4347826086956523,5.456521739130435,46
7,Bahamas,2.25,6.125,8
8,Barbados,4.333333333333333,7.333333333333333,3
9,Belgium,3.037037037037037,6.333333333333333,54
10,Bhutan,4.0,10.0,1
11,Bolivia,1.9166666666666667,5.25,12
12,Bosnia and Herzegovina,4.0,2.0,1
13,Bouvet Island,9.0,6.0,2
14,Brazil,3.0185185185185186,6.314814814814815,54
15,Burkina Faso,3.4285714285714284,8.714285714285714,7
16,Cambodia,5.0,3.5714285714285716,7
17,Canada,3.6564885496183206,6.869751908396947,4192
18,Chile,2.5,6.0,2
19,China,2.5,5.806451612903226,62
20,Costa Rica,0.8571428571428571,3.2857142857142856,7
21,Croatia,1.7777777777777777,6.666666666666667,9
22,Cyprus,1.2,2.4,5
23,Czech Republic,1.5,4.5,2
24,Denmark,2.5714285714285716,7.357142857142857,14
25,El Salvador,3.0,7.0,1
26,England,3.933333333333333,6.90752688172043,465
27,Fiji Islands,2.263157894736842,4.052631578947368,19
28,Finland,2.608695652173913,7.086956521739131,23
29,France,3.1206896551724137,5.224137931034483,58
30,Germany,3.236318407960199,6.818407960199005,402
31,Greece,1.6,3.6,5
32,Hong Kong,3.103448275862069,6.620689655172414,29
33,Hungary,2.7142857142857144,7.428571428571429,7
34,India,3.7,8.4,10
35,Indonesia,1.0,4.0,1
36,Ireland,2.75,8.479166666666666,48
37,Isle of Man,4.0,9.5,6
38,Italy,3.1794871794871793,6.0256410256410255,39
39,Japan,2.761904761904762,5.75,84
40,Jersey,2.25,2.25,4
41,Jordan,4.076923076923077,7.461538461538462,13
42,Lebanon,4.0,2.0,1
43,Lesotho,3.3162393162393164,7.7094017094017095,117
44,Luxembourg,0.0,2.0,1
45,Malaysia,2.0,3.0,1
46,Malta,2.0,2.0,1
47,Mauritania,2.0,5.0,1
48,Mexico,2.849673202614379,6.529411764705882,306
49,Netherlands,4.259515570934256,8.539792387543253,289
50,Northern Ireland,4.305084745762712,9.525423728813559,59
51,Norway,2.0,4.5,10
52,Panama,3.5833333333333335,4.333333333333333,12
53,Philippines,3.0,10.0,1
54,Poland,2.7384615384615385,6.538461538461538,65
55,Portugal,4.25,6.5,8
56,Puerto Rico,2.2857142857142856,7.428571428571429,7
57,Romania,2.6547619047619047,3.8333333333333335,84
58,Russia,2.1333333333333333,7.066666666666666,15
59,Scotland,3.5982905982905984,7.615384615384615,117
60,Serbia,1.5,1.5,2
61,Singapore,4.222222222222222,6.222222222222222,9
62,Slovak Republic,8.0,8.0,1
63,Slovenia,4.285714285714286,6.0,7
64,South Africa,2.566666666666667,6.533333333333333,30
65,Spain,2.5555555555555554,4.644444444444445,90
66,Svalbard and Jan Mayen Islands,3.25,8.75,4
67,Sweden,3.8102409638554215,6.605421686746988,332
68,Switzerland,3.96875,7.875,32
