,country,neg_words,pos_words,nb_review
0,Antarctica,1.6666666666666667,8.0,3
1,Aotearoa,3.3846153846153846,4.538461538461538,13
2,Argentina,4.0,11.6,5
3,Australia,3.839454354669465,7.688352570828961,953
4,Austria,2.5454545454545454,6.136363636363637,22
5,Bahamas,2.8,6.8,5
6,Belgium,2.6080843585237257,5.674868189806678,569
7,Brazil,2.7435897435897436,4.358974358974359,39
8,Bulgaria,1.0,3.0,1
9,Burkina Faso,5.0,9.0,2
10,Canada,3.534849325198743,6.847846182288778,5409
11,China,2.6,5.236363636363636,55
12,Costa Rica,1.0,3.0,4
13,Croatia,2.357142857142857,3.857142857142857,14
14,Cyprus,1.0384615384615385,4.076923076923077,26
15,Czech Republic,2.736842105263158,6.052631578947368,19
16,Denmark,2.0555555555555554,6.722222222222222,18
17,El Salvador,3.0,3.0,1
18,England,3.7742980561555077,6.6922246220302375,926
19,Estonia,0.0,7.0,1
20,Finland,2.2857142857142856,6.142857142857143,14
21,France,1.9981768459434823,3.829535095715588,1097
22,Germany,2.9674418604651165,6.546511627906977,430
23,Greece,2.0208333333333335,3.8958333333333335,48
24,Hong Kong,2.757575757575758,6.96969696969697,33
25,Hungary,1.5,4.75,4
26,Iceland,2.0,4.857142857142857,7
27,India,4.333333333333333,5.5,12
28,Ireland,2.739130434782609,6.666666666666667,69
29,Israel,0.8333333333333334,3.8333333333333335,6
30,Italy,2.5427350427350426,4.384615384615385,234
31,Japan,3.0129032258064514,6.2064516129032254,155
32,Jersey,1.511111111111111,2.6444444444444444,45
33,Jordan,4.5,6.666666666666667,6
34,Kenya,3.0,1.0,1
35,Lesotho,4.24,8.68,25
36,Lithuania,2.0,7.0,2
37,Luxembourg,3.0,4.428571428571429,7
38,Macedonia,5.0,8.0,1
39,Marshall Islands,2.0,8.0,1
40,Mexico,3.495575221238938,6.707964601769912,113
41,Netherlands,3.4127465857359636,6.6433990895295905,659
42,Northern Ireland,3.203125,7.5546875,128
43,Norway,2.40625,5.359375,64
44,Panama,3.2195121951219514,4.682926829268292,41
45,Philippines,3.0,6.230769230769231,13
46,Poland,3.212121212121212,6.5,66
47,Portugal,3.6808510638297873,7.8936170212765955,47
48,Puerto Rico,3.5833333333333335,8.75,12
49,Romania,3.683453237410072,4.41726618705036,139
50,Russia,2.1437908496732025,3.477124183006536,153
51,Scotland,3.267857142857143,7.133928571428571,112
52,Serbia,2.75,3.1875,16
53,Singapore,4.666666666666667,10.166666666666666,6
54,Sint Maarten,4.0,9.0,1
55,Slovak Republic,2.75,7.25,4
56,Slovenia,3.810810810810811,5.918918918918919,37
57,South Africa,5.55,11.45,20
58,South Georgia and South Sandwich Islands,6.666666666666667,5.333333333333333,3
59,Spain,2.143478260869565,3.7,230
60,Svalbard and Jan Mayen Islands,3.2857142857142856,7.0,7
61,Sweden,4.406876790830945,6.249283667621777,349
62,Switzerland,3.4098360655737703,7.377049180327869,122
63,Taiwan,4.0,5.25,8
64,Tajikistan,2.6666666666666665,8.333333333333334,3
65,Tanzania,1.25,4.25,4
66,Thailand,3.3125,7.0546875,128
67,Trinidad and Tobago,4.0,9.0,1
68,Turkey,2.6666666666666665,3.3333333333333335,3
69,Ukraine,2.0,5.0,2
70,United Arab Emirates,3.25,6.75,8
71,"United States, Alabama",3.6754966887417218,7.728476821192053,302
72,"United States, Alaska",3.025,7.433333333333334,240
73,"United States, Arizona",3.2586345381526103,8.126907630522089,1245
74,"United States, Arkansas",2.5384615384615383,5.615384615384615,234
75,"United States, California",3.695938215102975,7.287185354691076,6992
76,"United States, Colorado",3.5690672963400236,7.6570247933884295,1694
77,"United States, Connecticut",3.0443121693121693,6.587962962962963,1512
78,"United States, Delaware",3.574626865671642,7.08955223880597,134
79,"United States, Florida",3.1295081967213116,6.671584699453552,1830
80,"United States, Georgia",3.460613349368611,6.47083583884546,1663
81,"United States, Hawaii",3.106508875739645,6.940828402366864,169
82,"United States, Idaho",2.781144781144781,5.255892255892256,297
83,"United States, Illinois",3.6419650291423813,7.1842908687205105,3603
84,"United States, Indiana",3.226537216828479,7.122168284789644,1236
85,"United States, Iowa",5.939977349943375,10.921857304643261,883
86,"United States, Kansas",3.5673469387755103,7.012244897959183,245
87,"United States, Kentucky",3.3545010467550593,6.946266573621773,1433
88,"United States, Louisiana",3.099236641221374,6.5012722646310435,393
89,"United States, Maine",3.293724966622163,6.770360480640854,749
90,"United States, Maryland",3.407492795389049,7.3198847262247835,1735
91,"United States, Massachusetts",3.422583081570997,6.914652567975831,5296
92,"United States, Michigan",3.3617021276595747,7.078723404255319,2350
93,"United States, Minnesota",3.504109589041096,7.444748858447489,2190
94,"United States, Mississippi",2.55,5.49375,160
95,"United States, Missouri",2.9720101781170483,6.743002544529262,1179
96,"United States, Montana",3.7051282051282053,7.769230769230769,78
97,"United States, Nebraska",5.7226463104325695,10.338422391857506,393
98,"United States, Nevada",3.1055900621118013,6.074534161490683,161
99,"United States, New Hampshire",2.8351020408163263,5.9583673469387755,1225
100,"United States, New Jersey",3.3421887390959557,7.166931007137193,2522
101,"United States, New Mexico",2.8057142857142856,5.7942857142857145,175
102,"United States, New York",3.620833333333333,7.348903508771929,4560
103,"United States, North Carolina",3.1092767295597485,6.414701257861635,2544
104,"United States, North Dakota",5.591836734693878,8.0,49
105,"United States, Ohio",3.5956484882735236,7.444193274936422,3539
106,"United States, Oklahoma",3.8362989323843415,7.241992882562277,281
107,"United States, Oregon",3.8403890160183067,7.616132723112128,1748
108,"United States, Pennsylvania",3.3187361419068737,7.057233924611974,7216
109,"United States, Rhode Island",2.923452768729642,6.346905537459284,614
110,"United States, South Carolina",3.518628912071535,7.436661698956781,671
111,"United States, South Dakota",4.0,8.821428571428571,28
112,"United States, Tennessee",3.479779411764706,7.897058823529412,544
113,"United States, Texas",3.3197831978319785,6.426635694928378,2583
114,"United States, Utah",2.4,6.033333333333333,30
115,"United States, Vermont",2.7709497206703912,6.5418994413407825,537
116,"United States, Virginia",3.2382305194805197,7.409496753246753,2464
117,"United States, Washington",3.3677634319033736,6.945439400249896,2401
118,"United States, West Virginia",3.1588541666666665,8.520833333333334,384
119,"United States, Wisconsin",3.4536082474226806,6.46759941089838,1358
120,"United States, Wyoming",3.473684210526316,6.6644736842105265,152
121,Uruguay,0.0,3.0,1
122,Vietnam,0.75,2.75,4
123,Wales,2.4,4.2,5
